id,username,email,password,first_name,last_name,phone,avt_url,role,status,verified,last_login,created_at,updated_at
20,customer_0020,customer_0020@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User20,Demo,0900000020,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-07-13 18:57:20,2026-03-29 12:13:07
21,customer_0021,customer_0021@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User21,Demo,0900000021,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-03-15 12:04:16,2026-03-29 12:13:07
22,customer_0022,customer_0022@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User22,Demo,0900000022,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-11-29 23:40:50,2026-03-29 12:13:07
23,customer_0023,customer_0023@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User23,Demo,0900000023,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-08-02 09:31:38,2026-03-29 12:13:07
24,customer_0024,customer_0024@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User24,Demo,0900000024,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-09-29 16:54:16,2026-03-29 12:13:07
25,customer_0025,customer_0025@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User25,Demo,0900000025,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-09-02 21:27:36,2026-03-29 12:13:07
26,customer_0026,customer_0026@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User26,Demo,0900000026,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-02-19 05:22:08,2026-03-29 12:13:07
27,customer_0027,customer_0027@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User27,Demo,0900000027,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-12-09 03:00:59,2026-03-29 12:13:07
28,customer_0028,customer_0028@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User28,Demo,0900000028,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-06-07 13:38:28,2026-03-29 12:13:07
29,customer_0029,customer_0029@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User29,Demo,0900000029,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-12-25 11:27:35,2026-03-29 12:13:07
30,customer_0030,customer_0030@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User30,Demo,0900000030,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-12-15 05:53:05,2026-03-29 12:13:07
31,customer_0031,customer_0031@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User31,Demo,0900000031,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-01-27 01:47:58,2026-03-29 12:13:07
32,customer_0032,customer_0032@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User32,Demo,0900000032,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-12-12 21:46:08,2026-03-29 12:13:07
33,customer_0033,customer_0033@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User33,Demo,0900000033,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-10-28 19:47:54,2026-03-29 12:13:07
34,customer_0034,customer_0034@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User34,Demo,0900000034,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-10-22 08:48:24,2026-03-29 12:13:07
35,customer_0035,customer_0035@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User35,Demo,0900000035,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-08-05 05:43:32,2026-03-29 12:13:07
36,customer_0036,customer_0036@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User36,Demo,0900000036,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-09-22 20:06:51,2026-03-29 12:13:07
37,customer_0037,customer_0037@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User37,Demo,0900000037,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-08-26 18:54:02,2026-03-29 12:13:07
38,customer_0038,customer_0038@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User38,Demo,0900000038,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2026-02-10 19:35:07,2026-03-29 12:13:07
39,customer_0039,customer_0039@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User39,Demo,0900000039,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-12-02 21:48:07,2026-03-29 12:13:07
40,customer_0040,customer_0040@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User40,Demo,0900000040,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2024-07-16 15:32:48,2026-03-29 12:13:07
41,customer_0041,customer_0041@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User41,Demo,0900000041,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-08-20 04:02:54,2026-03-29 12:13:07
42,customer_0042,customer_0042@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User42,Demo,0900000042,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-11-19 15:32:52,2026-03-29 12:13:07
43,customer_0043,customer_0043@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User43,Demo,0900000043,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-01-27 05:41:48,2026-03-29 12:13:07
44,customer_0044,customer_0044@example.com,$2b$12$abcdefghijklmnopqrstuv1234567890abcdefghi,User44,Demo,0900000044,,CUSTOMER,ACTIVE,1,2026-03-29 12:13:07,2025-03-13 12:51:07,2026-03-29 12:13:07
